transaction_id,date,scheme_name,transaction_type,amount,state,age_group,gender,city_tier
1,2022-07-16,DSP Top 100 Equity Direct,Redemption,279212,Rajasthan,26-35,Female,B30
2,2025-03-28,ABSL Frontline Equity Direct,SIP,120633,West Bengal,60+,Female,B30
3,2024-04-20,DSP Top 100 Equity Direct,SIP,211196,Uttar Pradesh,18-25,Female,T30
4,2023-08-13,ABSL Frontline Equity Direct,Redemption,443755,Punjab,26-35,Female,B30
5,2023-04-22,UTI Flexi Cap Direct,SIP,432968,Punjab,18-25,Male,T30
6,2023-01-03,UTI Flexi Cap Direct,SIP,228359,Punjab,60+,Male,T30
7,2023-12-29,HDFC Top 100 Direct,Redemption,417705,Delhi,60+,Male,B30
8,2024-01-27,SBI Bluechip Direct,SIP,290552,Andhra Pradesh,36-45,Male,B30
9,2024-04-01,Axis Bluechip Direct,SIP,257287,Karnataka,18-25,Female,B30
10,2024-01-08,Mirae Asset Large Cap Direct,SIP,49566,Andhra Pradesh,18-25,Female,T30
11,2022-08-23,Nippon Large Cap Direct,SIP,481103,Gujarat,36-45,Female,T30
12,2023-05-11,UTI Flexi Cap Direct,SIP,350020,Uttar Pradesh,60+,Female,B30
13,2025-01-06,UTI Flexi Cap Direct,Redemption,120917,Gujarat,18-25,Male,T30
14,2025-07-04,ICICI Pru Bluechip Direct,Lumpsum,279598,Andhra Pradesh,18-25,Male,B30
15,2024-05-13,Axis Bluechip Direct,SIP,465991,Punjab,36-45,Male,B30
16,2023-02-28,HDFC Top 100 Direct,SIP,164074,Punjab,36-45,Male,T30
17,2024-08-30,UTI Flexi Cap Direct,SIP,211554,Tamil Nadu,60+,Female,B30
18,2022-06-26,UTI Flexi Cap Direct,SIP,470385,West Bengal,46-60,Female,T30
19,2024-03-04,Mirae Asset Large Cap Direct,Redemption,456174,West Bengal,26-35,Female,B30
20,2025-05-28,Axis Bluechip Direct,Lumpsum,432543,West Bengal,18-25,Male,T30
21,2022-05-25,UTI Flexi Cap Direct,SIP,281194,Rajasthan,18-25,Male,T30
22,2023-09-04,UTI Flexi Cap Direct,SIP,20754,Kerala,26-35,Male,T30
23,2025-04-15,ABSL Frontline Equity Direct,SIP,193270,West Bengal,60+,Male,B30
24,2024-07-17,SBI Bluechip Direct,SIP,79021,Maharashtra,60+,Female,B30
25,2022-04-08,DSP Top 100 Equity Direct,Redemption,301239,Gujarat,46-60,Female,T30
26,2022-12-02,ABSL Frontline Equity Direct,SIP,161128,Maharashtra,26-35,Male,T30
27,2024-11-19,Nippon Large Cap Direct,SIP,158662,Punjab,26-35,Male,T30
28,2024-05-24,HDFC Top 100 Direct,SIP,437548,Andhra Pradesh,36-45,Male,T30
29,2022-09-11,DSP Top 100 Equity Direct,Lumpsum,449851,Telangana,60+,Male,T30
30,2024-06-14,Kotak Bluechip Direct,Lumpsum,288671,Gujarat,46-60,Male,T30
31,2024-10-05,HDFC Top 100 Direct,SIP,440930,Telangana,26-35,Male,B30
32,2023-03-29,UTI Flexi Cap Direct,SIP,490624,Rajasthan,18-25,Female,B30
33,2025-04-22,SBI Bluechip Direct,Lumpsum,165961,Rajasthan,60+,Male,T30
34,2025-05-03,Kotak Bluechip Direct,SIP,100909,Rajasthan,26-35,Female,T30
35,2024-02-15,ABSL Frontline Equity Direct,SIP,244241,Gujarat,18-25,Female,T30
36,2024-03-02,HDFC Top 100 Direct,SIP,201818,Gujarat,26-35,Female,T30
37,2022-07-29,ABSL Frontline Equity Direct,Redemption,370304,Tamil Nadu,60+,Male,T30
38,2023-12-19,HDFC Top 100 Direct,SIP,327755,Tamil Nadu,26-35,Male,B30
39,2025-03-09,ABSL Frontline Equity Direct,SIP,154221,Uttar Pradesh,60+,Male,B30
40,2023-11-29,ICICI Pru Bluechip Direct,SIP,485575,Maharashtra,36-45,Female,T30
41,2023-10-13,DSP Top 100 Equity Direct,SIP,270373,Karnataka,18-25,Male,B30
42,2024-09-14,ICICI Pru Bluechip Direct,SIP,376068,Punjab,46-60,Female,T30
43,2024-05-29,Nippon Large Cap Direct,SIP,166773,Uttar Pradesh,18-25,Female,T30
44,2022-02-08,ICICI Pru Bluechip Direct,SIP,407755,Uttar Pradesh,46-60,Male,T30
45,2022-05-14,ICICI Pru Bluechip Direct,Lumpsum,211321,Tamil Nadu,60+,Male,B30
46,2022-02-17,Nippon Large Cap Direct,SIP,206634,Andhra Pradesh,46-60,Male,T30
47,2023-07-25,ICICI Pru Bluechip Direct,Lumpsum,183318,Kerala,60+,Female,T30
48,2022-08-31,SBI Bluechip Direct,SIP,82635,West Bengal,36-45,Male,T30
49,2025-06-21,Nippon Large Cap Direct,Lumpsum,207801,Delhi,18-25,Female,T30
50,2025-05-25,Axis Bluechip Direct,Lumpsum,312414,Telangana,60+,Male,T30
51,2024-01-28,Mirae Asset Large Cap Direct,Redemption,430282,Telangana,18-25,Female,B30
52,2025-12-16,Mirae Asset Large Cap Direct,SIP,333068,Tamil Nadu,60+,Male,T30
53,2022-09-22,SBI Bluechip Direct,Lumpsum,36878,Delhi,36-45,Female,T30
54,2025-01-07,UTI Flexi Cap Direct,Redemption,459574,Kerala,46-60,Female,B30
55,2023-06-29,ICICI Pru Bluechip Direct,SIP,452030,Uttar Pradesh,60+,Female,B30
