month,sip_inflow_cr
2022-01,11429.0
2022-02,11718.32
2022-03,11786.64
2022-04,12774.96
2022-05,12550.28
2022-06,13141.6
2022-07,13588.91
2022-08,14088.23
2022-09,14388.55
2022-10,14983.87
2022-11,15529.19
2022-12,15910.51
2023-01,16366.83
2023-02,16616.15
2023-03,17191.47
2023-04,17722.79
2023-05,17607.11
2023-06,18596.43
2023-07,19089.74
2023-08,19153.06
2023-09,19690.38
2023-10,20144.7
2023-11,20404.02
2023-12,21036.34
2024-01,21545.66
2024-02,21412.98
2024-03,22372.3
2024-04,22319.62
2024-05,22831.94
2024-06,23315.26
2024-07,23590.57
2024-08,24335.89
2024-09,24337.21
2024-10,25290.53
2024-11,25704.85
2024-12,26162.17
2025-01,26423.49
2025-02,27111.81
2025-03,27032.13
2025-04,27612.45
2025-05,27878.77
2025-06,28213.09
2025-07,29113.4
2025-08,29227.72
2025-09,29892.04
2025-10,30136.36
2025-11,30856.68
2025-12,31002.0
